circRNA,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
hsa_circ_0013297,0.118292768,0.065892407,0.052347722,0.081077766,0.10639019,0.200475664,0.209923242,0.104613553,0.045111027,0.024986724
hsa_circ_0110132,0.236585536,0.285533762,0.20939089,0.202694415,0.141853586,0.066825221,0.157442432,0.104613553,0.31577719,0.349814135
hsa_circ_0009680,0.118292768,0.043928271,0.183217029,0.081077766,0,0.033412611,0.104961621,0.052306777,0.180444109,0.074960172
hsa_circ_0009681,0.14786596,0.065892407,0.104695445,0,0,0,0,0.104613553,0,0.174907068
hsa_circ_0013298,0.724543204,0.680888201,0.628172669,0.445927713,0.461024155,0.634839604,0.524808106,0.366147436,0.270666163,0.399787583
hsa_circ_0110133,0.133079364,0.109820678,0.366434057,0.243233298,0.10639019,0.066825221,0.367365674,0,0.090222054,0.099946896
hsa_circ_0110134,0.088719576,0.109820678,0.078521584,0.040538883,0.035463397,0.100237832,0.052480811,0.052306777,0.180444109,0.024986724
hsa_circ_0110135,0.044359788,0.109820678,0.078521584,0.040538883,0.10639019,0,0.052480811,0.104613553,0.045111027,0.099946896
hsa_circ_0110136,0.14786596,0.065892407,0.183217029,0.040538883,0.035463397,0.133650443,0.052480811,0.052306777,0,0.099946896
hsa_circ_0110137,0.133079364,0.19767722,0.157043167,0.162155532,0.10639019,0.133650443,0.157442432,0.052306777,0,0.074960172
hsa_circ_0110138,0,0,0.104695445,0,0,0,0.052480811,0.31384066,0.135333081,0
hsa_circ_0110139,0.118292768,0.065892407,0.104695445,0.121616649,0.141853586,0.167063054,0.157442432,0.209227106,0.135333081,0.224880515
hsa_circ_0110140,0.118292768,0.131784813,0.130869306,0.324311064,0.212780379,0.233888275,0.209923242,0.209227106,0.405999244,0.274853963
hsa_circ_0013299,0.14786596,0.19767722,0,0.162155532,0.10639019,0.167063054,0.104961621,0.104613553,0.135333081,0.12493362
hsa_circ_0110141,0.251372132,0.351426168,0.052347722,0.040538883,0.177316983,0.267300886,0.419846485,0,0.090222054,0.249867239
hsa_circ_0013300,0,0.021964136,0.026173861,0.040538883,0.10639019,0.200475664,0.104961621,0.15692033,0,0.049973448
hsa_circ_0110142,0.22179894,0.219641355,0.157043167,0.121616649,0.10639019,0.200475664,0.209923242,0.993828755,0.225555136,0.324827411
hsa_circ_0110143,0.3696649,0.241605491,0.314086335,0.567544363,0.496487552,0.300713497,0.314884863,0.104613553,0.135333081,0.149920344
hsa_circ_0110144,0.162652556,0.285533762,0.261738612,0.283772181,0.212780379,0.133650443,0.157442432,0.15692033,0,0.074960172
hsa_circ_0110145,0.029573192,0,0.078521584,0.121616649,0.10639019,0.133650443,0,0.104613553,0,0.049973448
hsa_circ_0110146,0.325305112,0.307497897,0.366434057,0.52700548,0.212780379,0.167063054,0,0.418454213,0.090222054,0.274853963
hsa_circ_0110147,0.059146384,0.087856542,0.104695445,0.121616649,0.035463397,0,0.104961621,0.104613553,0,0.224880515
hsa_circ_0110148,0.133079364,0.109820678,0.078521584,0,0.070926793,0.033412611,0.052480811,0,0.225555136,0.024986724
hsa_circ_0000096,0.177439152,0.219641355,0.183217029,0.162155532,0.425560759,0.066825221,0.367365674,0.104613553,0.31577719,0.024986724
hsa_circ_0110149,0.088719576,0.175713084,0,0.040538883,0.035463397,0.267300886,0,0,0,0.074960172
hsa_circ_0013301,0.266158728,0.263569626,0.130869306,0,0.070926793,0.033412611,0,0.052306777,0.135333081,0.024986724
hsa_circ_0013302,0.14786596,0.153748949,0.078521584,0,0.10639019,0.100237832,0.052480811,0,0.045111027,0.049973448
hsa_circ_0013303,0.192225748,0.19767722,0.078521584,0.162155532,0.035463397,0.400951329,0.052480811,0.15692033,0.225555136,0.099946896
hsa_circ_0110150,0.088719576,0.109820678,0.026173861,0.081077766,0.10639019,0.033412611,0.314884863,0.052306777,0.180444109,0.074960172
hsa_circ_0013304,0,0.043928271,0,0,0.070926793,0,0.157442432,0.15692033,0,0.074960172
hsa_circ_0110151,0.207012344,0.175713084,0.130869306,0.081077766,0.212780379,0.066825221,0.157442432,0.15692033,0.135333081,0.249867239
hsa_circ_0013305,0.059146384,0.153748949,0.130869306,0.040538883,0.248243776,0.167063054,0.104961621,0.052306777,0.31577719,0.174907068
hsa_circ_0013306,0.51753086,0.571067523,0.392607918,0.243233298,0.390097362,0.367538718,0.209923242,0.209227106,0.270666163,0.099946896
hsa_circ_0013307,0.192225748,0.131784813,0.026173861,0,0.212780379,0.233888275,0.104961621,0.104613553,0.090222054,0.099946896
